YEAR,ROOKERY,SPP,COLONY,CAMERA,NEST,DATE,COPULATION,LAY,MAXE,HATCH,MAXC,CRECHE
2016-17,CS,2,23,23-1,3,11/20/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,3,11/22/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,3,11/26/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,3,12/2/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,3,12/15/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,3,12/28/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,3,12/29/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,3,12/31/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/1/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/2/2017,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,3,1/3/2017,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,3,1/6/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/7/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/8/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/9/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/10/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/11/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/12/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/13/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/14/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/15/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/16/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/17/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/18/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/19/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/20/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,3,1/21/2017,NA,NA,NA,NA,NA,2
2016-17,CS,2,23,23-1,4,11/13/2016,NA,NA,0,NA,NA,NA
2016-17,CS,2,23,23-1,4,11/17/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,4,11/21/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,4,11/28/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,4,11/29/2016,NA,NA,2,NA,NA,NA
2016-17,CS,2,23,23-1,4,12/2/2016,NA,NA,NA,NA,NA,NA
2016-17,CS,2,23,23-1,4,12/20/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,4,12/22/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,12/23/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,4,12/25/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,12/26/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,4,12/27/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,12/28/2016,NA,NA,NA,NA,1,NA
2016-17,CS,2,23,23-1,4,12/29/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,12/30/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,12/31/2016,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/1/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/2/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/3/2017,NA,NA,NA,NA,2,NA
